title,author,language,genres,data
the gravity between us,kristenzimmer,english,romance newadult contemporary queer youngadult fiction contemporaryromance,the gravity between us kristenzimmer english romance newadult contemporary queer youngadult fiction contemporaryromance
something maybe,elizabethscott,english,youngadult romance contemporary chicklit fiction realisticfiction teen highschool youngadultromance family,something maybe elizabethscott english youngadult romance contemporary chicklit fiction realisticfiction teen highschool youngadultromance family
gretel,christophercoleman,english,horror fantasy mystery paranormal fiction fairytales supernatural thriller retellings amazon,gretel christophercoleman english horror fantasy mystery paranormal fiction fairytales supernatural thriller retellings amazon
google ish or weltfrieden is possible within minutes,nicohaupt,english,,google ish or weltfrieden is possible within minutes nicohaupt english 
the museum called canada rooms of wonder,charlottegray,english,history nonfiction canada photography,the museum called canada rooms of wonder charlottegray english history nonfiction canada photography
achtstegroepers huilen niet,jacquesvriens annetschaap,dutch,childrens fiction contemporary youngadult middlegrade school illness classics,achtstegroepers huilen niet jacquesvriens annetschaap dutch childrens fiction contemporary youngadult middlegrade school illness classics
waiting for you,susanecolasanti,english,youngadult romance contemporary chicklit realisticfiction teen highschool youngadultromance fiction contemporaryromance,waiting for you susanecolasanti english youngadult romance contemporary chicklit realisticfiction teen highschool youngadultromance fiction contemporaryromance
عشق,أحمدعبدالمجيد,arabic,novels fiction romance spirituality,عشق أحمدعبدالمجيد arabic novels fiction romance spirituality
tishomingo blues,elmoreleonard,english,fiction crime mystery thriller suspense detective relationships literaryfiction mysterythriller noir,tishomingo blues elmoreleonard english fiction crime mystery thriller suspense detective relationships literaryfiction mysterythriller noir
the adventures of sherlock holmes and other stories,arthurconandoyle,english,classics mystery fiction crime shortstories adventure collections thriller suspense psychology,the adventures of sherlock holmes and other stories arthurconandoyle english classics mystery fiction crime shortstories adventure collections thriller suspense psychology
silver wedding,maevebinchy annetmons,english,fiction chicklit romance ireland irishliterature contemporary womensfiction drama novels adultfiction,silver wedding maevebinchy annetmons english fiction chicklit romance ireland irishliterature contemporary womensfiction drama novels adultfiction
ghost girl,toreyl.hayden,english,nonfiction psychology memoir biography abuse education mentalillness truestory adult mentalhealth,ghost girl toreyl.hayden english nonfiction psychology memoir biography abuse education mentalillness truestory adult mentalhealth
a cast of stones,patrickw.carr,english,fantasy fiction christian christianfiction christianfantasy youngadult amazon adventure historicalfiction medieval,a cast of stones patrickw.carr english fantasy fiction christian christianfiction christianfantasy youngadult amazon adventure historicalfiction medieval
the world of suzie wong,richardmason,english,fiction china historicalfiction romance asia classics novels collections lovestory asianliterature,the world of suzie wong richardmason english fiction china historicalfiction romance asia classics novels collections lovestory asianliterature
death of the mad hatter,sarahj.pepper,english,fantasy youngadult romance retellings paranormal fairytales fairytaleretellings fiction youngadultfantasy newadult,death of the mad hatter sarahj.pepper english fantasy youngadult romance retellings paranormal fairytales fairytaleretellings fiction youngadultfantasy newadult
the queen of bedlam,robertr.mccammon,english,historicalfiction mystery fiction horror historical thriller crime mysterythriller historicalmystery audiobook,the queen of bedlam robertr.mccammon english historicalfiction mystery fiction horror historical thriller crime mysterythriller historicalmystery audiobook
not exactly a love story,audreycouloumbis,english,youngadult romance realisticfiction historicalfiction contemporary audiobook highschool comingofage humor teen,not exactly a love story audreycouloumbis english youngadult romance realisticfiction historicalfiction contemporary audiobook highschool comingofage humor teen
flying dutch,tomholt,english,fantasy humor fiction comedy sciencefiction sciencefictionfantasy supernatural comicfantasy novels pirates,flying dutch tomholt english fantasy humor fiction comedy sciencefiction sciencefictionfantasy supernatural comicfantasy novels pirates
bananas beaches and bases making feminist sense of international politics,cynthiaenloe,english,feminism nonfiction politics gender internationalrelations history socialjustice sociology economics academic,bananas beaches and bases making feminist sense of international politics cynthiaenloe english feminism nonfiction politics gender internationalrelations history socialjustice sociology economics academic
the angels trilogy,lurlenemcdaniel,english,youngadult romance fiction amish contemporary realisticfiction childrens love teen christianfiction,the angels trilogy lurlenemcdaniel english youngadult romance fiction amish contemporary realisticfiction childrens love teen christianfiction
